,name_2,root_1,pitch_class_smaller,cents_diff,matched_pitch_class,n_edo
0,just diatonic,C,C,0.0,C,7
1,just diatonic,C,D,-32.481430302203606,D,7
2,just diatonic,C,E,-43.45657100769228,D#,7
3,just diatonic,C,F,16.240715151101934,F,7
4,just diatonic,C,G,-16.240715151101515,G,7
5,just diatonic,C,A,-27.215855856590313,A,7
6,just diatonic,C,B,-59.697286158793595,A#,7
0,just diatonic,D,D,0.0,D,7
1,just diatonic,D,E,-10.975140705488768,E,7
2,just diatonic,D,F,48.72214545330537,F,7
3,just diatonic,D,G,16.24071515110155,G,7
4,just diatonic,D,A,5.265574445613126,A,7
5,just diatonic,D,B,-27.215855856590114,B,7
6,just diatonic,D,C,32.481430302203556,C,7
0,just diatonic,E,E,0.0,E,7
1,just diatonic,E,F,59.69728615879383,F#,7
2,just diatonic,E,G,27.215855856590174,G,7
3,just diatonic,E,A,16.24071515110155,A,7
4,just diatonic,E,B,-16.240715151101515,B,7
5,just diatonic,E,C,43.45657100769207,C,7
6,just diatonic,E,D,10.975140705488421,D,7
0,just diatonic,F,F,0.0,F,7
1,just diatonic,F,G,-32.481430302203606,G,7
2,just diatonic,F,A,-43.45657100769248,G#,7
3,just diatonic,F,B,-75.93800130989561,A#,7
4,just diatonic,F,C,-16.240715151101902,C,7
5,just diatonic,F,D,-48.72214545330541,D,7
6,just diatonic,F,E,-59.69728615879419,D#,7
0,just diatonic,G,G,0.0,G,7
1,just diatonic,G,A,-10.975140705488768,A,7
2,just diatonic,G,B,-43.456571007691885,A#,7
3,just diatonic,G,C,16.24071515110155,C,7
4,just diatonic,G,D,-16.240715151101707,D,7
5,just diatonic,G,E,-27.215855856590313,E,7
6,just diatonic,G,F,32.481430302203556,F,7
0,just diatonic,A,A,0.0,A,7
1,just diatonic,A,B,-32.481430302203414,B,7
2,just diatonic,A,C,27.215855856590174,C,7
3,just diatonic,A,D,-5.265574445612954,D,7
4,just diatonic,A,E,-16.240715151101902,E,7
5,just diatonic,A,F,43.456571007692446,F,7
6,just diatonic,A,G,10.975140705488421,G,7
0,just diatonic,B,B,0.0,B,7
1,just diatonic,B,C,59.69728615879346,C#,7
2,just diatonic,B,D,27.215855856590174,D,7
3,just diatonic,B,E,16.24071515110155,E,7
4,just diatonic,B,F,75.93800130989545,F#,7
5,just diatonic,B,G,43.45657100769207,G,7
6,just diatonic,B,A,32.48143030220318,A,7
0,just diatonic,C,C,0.0,C,8
1,just diatonic,C,D,-53.91000173077463,D,8
3,just diatonic,C,E,63.68628613516493,E,8
4,just diatonic,C,F,-48.04499913461252,E,8
6,just diatonic,C,G,48.044999134612496,G#,8
7,just diatonic,C,A,15.641287000552365,A,8
8,just diatonic,C,B,-38.268714730222214,A#,8
0,just diatonic,D,D,0.0,D,8
1,just diatonic,D,E,-32.40371213405997,E,8
2,just diatonic,D,F,5.865002596162303,F,8
