tonic,deg,harm_num_match_deg,harm_cents_match_deg
1,1,17,104.9554
1,1,33,53.2729
1,2,9,203.91
1,2,35,155.1396
1,3,19,297.513
1,3,37,251.344
1,3,39,342.4827
1,4,5,386.3137
1,4,41,429.0624
1,5,21,470.7809
1,5,43,511.5177
1,6,11,551.3179
1,6,23,628.2743
1,6,45,590.2237
1,7,3,701.955
1,7,47,665.5066
1,7,49,737.6518
1,8,13,840.5277
1,8,25,772.6274
1,8,51,806.9104
1,9,27,905.865
1,9,53,873.5045
1,9,55,937.6317
1,10,7,968.8259
1,10,29,1029.5772
1,10,57,999.468
1,11,15,1088.2687
1,11,31,1145.0356
1,11,59,1059.1717
1,11,61,1116.8848
3,1,13,138.5727
3,1,25,70.6724
3,2,53,171.5495
3,2,55,235.6767
3,3,7,266.8709
3,3,29,327.6222
3,4,31,443.0806
3,4,59,357.2167
3,4,61,414.9298
3,5,1,498.045
3,6,17,603.0004
3,7,35,653.1846
3,7,37,749.389
3,8,19,795.558
3,9,5,884.3587
3,9,41,927.1074
3,10,11,1049.3629
3,10,43,1009.5627
3,11,23,1126.3193
5,1,21,84.4672
5,1,43,125.204
5,2,11,165.0042
5,2,23,241.9606
5,3,3,315.6413
5,3,47,279.1929
5,4,49,351.3381
5,4,51,420.5967
5,5,13,454.2139
5,5,27,519.5513
5,5,53,487.1908
5,6,7,582.5122
5,6,29,643.2635
5,6,57,613.1543
5,7,59,672.8579
5,7,61,730.5711
5,8,1,813.6863
5,8,31,758.7219
5,8,63,786.4222
5,9,17,918.6417
5,9,33,866.9592
5,10,9,1017.5963
5,11,19,1111.1993
5,11,37,1065.0303
7,1,15,119.4428
7,1,29,60.7513
7,1,59,90.3458
7,1,61,148.0589
7,2,1,231.1741
7,2,31,176.2097
7,3,17,336.1295
7,3,33,284.447
7,4,9,435.0841
7,5,19,528.6871
7,5,37,482.5181
7,6,5,617.4878
7,6,39,573.6568
7,7,41,660.2365
7,7,43,742.6918
7,8,11,782.492
7,8,45,821.3978
7,9,3,933.1291
7,9,23,859.4484
7,9,47,896.6807
7,10,25,1003.8015
7,10,51,1038.0845
7,11,13,1071.7018
7,11,27,1137.0391
7,11,53,1104.6786
9,1,19,93.603
9,2,5,182.4037
9,2,41,225.1524
9,3,11,347.4079
9,3,43,307.6077
9,4,23,424.3643
9,5,47,461.5966
9,5,49,533.7418
9,6,13,636.6177
9,6,25,568.7174
9,7,53,669.5945
9,7,55,733.7217
9,8,7,764.9159
9,8,29,825.6672
9,9,31,941.1256
9,9,59,855.2617
9,9,61,912.9748
9,10,1,996.09
9,11,17,1101.0454
